               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11041,             0.05956,            0.044422,            0.091816,            0.084499,            0.047305,            0.012755,            0.092006,            0.094554,            0.033653,               0.082,               0.002,               0.002
                   1,            0.084031,            0.052279,            0.029318,             0.72302,              0.2215,             0.12879,            0.039082,            0.078023,             0.09491,            0.023829,            0.062694,           0.0036941,           0.0036941
                   2,            0.075703,            0.043431,            0.023548,             0.77846,             0.20587,             0.19172,            0.060531,            0.071054,            0.078644,            0.019597,            0.042972,           0.0049724,           0.0049724
                   3,            0.074166,            0.040154,            0.021844,             0.76815,             0.20246,             0.21192,            0.075477,             0.06974,            0.069239,            0.018241,            0.022835,           0.0058349,           0.0058349
                   4,            0.070778,            0.042802,            0.020446,             0.76109,             0.17619,             0.24691,             0.07913,            0.072582,            0.067647,            0.017399,             0.00604,             0.00604,             0.00604
                   5,            0.068208,            0.040282,            0.020398,             0.18704,             0.41625,             0.29973,             0.13228,            0.064321,            0.066399,            0.016486,             0.00604,             0.00604,             0.00604
                   6,            0.059778,            0.039468,            0.019485,             0.73332,             0.38003,             0.40938,             0.20452,            0.055541,            0.066332,            0.015797,             0.00505,             0.00505,             0.00505
                   7,            0.055436,            0.038566,            0.017662,             0.86311,             0.32039,             0.43285,             0.19241,            0.054233,            0.063517,            0.015209,             0.00406,             0.00406,             0.00406
                   8,            0.050785,            0.038483,            0.016613,             0.59828,             0.45367,             0.46788,             0.25259,            0.048599,            0.062879,            0.014769,             0.00307,             0.00307,             0.00307
                   9,            0.047215,             0.03735,              0.0162,             0.64678,             0.46592,             0.49473,             0.25633,            0.044798,            0.062009,            0.014327,             0.00208,             0.00208,             0.00208
